ADM0_NAME,DateOfReport,cum_conf,cum_death,ID,CENTER_LON,CENTER_LAT,ADM0_VIZ_NAME,Short_Name_ZH,Short_Name_FR,Short_Name_ES,Short_Name_RU,Short_Name_AR,GlobalID
Kenya,2020-03-16,"3","0","40707",37.85786442,0.52978018,Kenya,肯尼亚,Kenya,Kenya,Кения,كينيا,008ae372-4c50-4ed0-a875-016e5e533266
Somalia,2020-03-16,"1","0","40781",45.86255927,6.0637135,Somalia,索马里,Somalie,Somalia,Сомали,الصومال,0438f621-447f-47a1-aff5-01d90a8b01a3
Bangladesh,2020-03-16,"8","0","40641",90.27092576,23.8330072,Bangladesh,孟加拉国,Bangladesh,Bangladesh,Бангладеш,بنغلاديش,ddac888d-d8d8-4781-ad46-032fea008995
Bosnia and Herzegovina,2020-03-16,"21","0","40646",17.78861095,44.16643966,Bosnia and Herzegovina,波斯尼亚和黑塞哥维那,Bosnie-Herzégovine,Bosnia y Herzegovina,Босния и Герцеговина,البوسنة والهرسك,125894d1-f837-4a58-9e15-04f02f6bb64a
Maldives,2020-03-16,"13","0","40715",73.25178478,3.37481932,Maldives,马尔代夫,Maldives,Maldivas,Мальдивские Острова,ملديف,3f982c3d-bad9-42c7-b04d-07adc8b85719
Armenia,2020-03-16,"30","0","40636",44.94793424,40.28641688,Armenia,亚美尼亚,Arménie,Armenia,Армения,أرمينيا,fb96d505-7855-4a9d-9d06-094d9850d3e7
Holy See,2020-03-16,"1","0","40690",12.48571114,41.89324195,Holy See,Holy See,,,,,b1b14192-2568-419b-a1b6-09cd92276735
Spain,2020-03-16,"9191","309","40761",-3.64931118,40.22749596,Spain,西班牙,Espagne,España,Испания,إسبانيا,fb6147c6-d4d4-4d5a-8db7-0a156eff8700
Algeria,2020-03-16,"49","4","40632",2.63236595,28.16335741,Algeria,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر,70bc07d7-272c-4d6f-aec2-0ad48eed876b
Cambodia,2020-03-16,"12","0","40651",104.92123962,12.71402994,Cambodia,柬埔寨,Cambodge,Camboya,Камбоджа,كمبوديا,017a3787-e6c3-4465-a1d3-0b91032c11e0
Guyana,2020-03-16,"4","1","40689",-58.97416349,4.79237827,Guyana,圭亚那,Guyana,Guyana,Гайана,غيانا,da1c7a3b-835b-4724-b5a7-0f3a92e07aab
Ghana,2020-03-16,"2","0","40682",-1.20704619,7.95964382,Ghana,加纳,Ghana,Ghana,Гана,غانا,cf77af75-0855-48fe-9a86-0f66a6d62507
Cayman Islands,2020-03-16,"1","1","40654",-80.82909683,19.431525,Cayman Islands,,,,,,7137421e-98fc-4571-b412-116cf13c40e6
Turkey,2020-03-16,"12","0","40772",35.17921811,39.06061856,Turkey,土耳其,Turquie,Turquía,Турция,تركيا,f4f4a10f-eac8-4900-84e9-11b1e32f6b1e
United States of America,2020-03-16,"1714","41","40775",-112.49356447,45.6954816,United States of America,美利坚合众国,États-Unis d'Amérique,Estados Unidos de América,Соединенные Штаты Америки,الولايات المتحدة الأمريكية ,b8bb55cb-e2df-43ed-b3dc-1a19a0927d1d
India,2020-03-16,"114","2","40694",79.6188183,22.88132057,India,印度,Inde,India,Индия,الهند,ddcae98e-97e2-44db-86b3-1a4455a9826a
Liechtenstein,2020-03-16,"7","0","40711",9.55526493,47.15259548,Liechtenstein,Liechtenstein,,,,,03a906be-ed1f-4110-8f32-1b267839a178
Austria,2020-03-16,"959","1","40638",14.13998831,47.59295768,Austria,奥地利,Autriche,Austria,Австрия,النمسا,082d1287-cb57-4db0-b386-1f3be47bc9f1
Denmark,2020-03-16,"898","1","40666",10.05082082,55.9623328,Denmark,丹麦,Danemark,Dinamarca,Дания,الدانمرك,ba04c14a-effc-4815-9d81-1fe6ffa447b7
Bhutan,2020-03-16,"1","0","40644",90.42943275,27.41546082,Bhutan,不丹,Bhoutan,Bhután,Бутан,بوتان,ff767e5e-4ac9-4d4a-bff7-20a9c8a8cf5e
Malta,2020-03-16,"30","0","40716",14.40457358,35.92036651,Malta,马耳他,Malte,Malta,Мальта,مالطة,fe9c625c-2829-4420-a50b-25cd182e47a7
Chile,2020-03-16,"75","0","40656",-71.38009385,-37.86811922,Chile,智利,Chili,Chile,Чили,شيلي,56bfe08a-be7c-4d64-ad91-29f6daa46b85
Mongolia,2020-03-16,"1","0","40722",103.08303108,46.83520872,Mongolia,蒙古,Mongolie,Mongolia,Монголия,منغوليا,248fffcf-2ddc-4dc1-8e49-2ce41ede2322
